City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
0,pan de azucar,-55.2333,-34.8,297.46,91,0,3.6,UY,1707636203,24.310000000000002
1,chonchi,-73.8092,-42.6128,285.44,97,100,1.01,CL,1707636203,12.29000000000002
2,strathmore,-113.3852,51.0501,275.82,74,68,3.09,CA,1707635678,2.670000000000016
3,bredasdorp,20.0403,-34.5322,294.96,50,0,7.07,ZA,1707636204,21.810000000000002
4,meadow lakes,-149.6011,61.6247,274.14,91,100,2.57,US,1707636204,0.9900000000000091
5,bethel,-73.414,41.3712,282.39,84,0,1.54,US,1707636205,9.240000000000009
6,abu zabad,29.25,12.35,297.45,13,7,7.46,SD,1707636205,24.30000000000001
7,altamira,-52.2064,-3.2033,295.93,96,100,1.03,BR,1707636205,22.78000000000003
8,grytviken,-36.5092,-54.2811,276.52,93,36,7.64,GS,1707636205,3.3700000000000045
9,altai,96.2583,46.3722,269.55,62,0,7.7,MN,1707636206,-3.599999999999966
10,puerto ayora,-90.3518,-0.7393,297.9,99,21,2.08,EC,1707636206,24.75
11,shima,117.8111,24.4478,293.16,39,4,3.11,CN,1707636206,20.010000000000048
12,la rinconada,-5.9826,37.4873,283.74,89,20,1.03,ES,1707636206,10.590000000000032
13,kuzovatovo,47.6866,53.5468,258.05,93,100,1.77,RU,1707636207,-15.099999999999966
14,iskateley,53.1512,67.6803,242.6,100,100,1.79,RU,1707636207,-30.549999999999983
15,holualoa,-155.9522,19.6228,295.06,90,0,4.12,US,1707636207,21.910000000000025
16,holmsund,20.3641,63.706,249.12,77,0,2.06,SE,1707636207,-24.029999999999973
17,invercargill,168.35,-46.4,285.94,78,100,4.02,NZ,1707636208,12.79000000000002
18,eraan,117.7016,9.0629,303.17,62,16,6.88,PH,1707636208,30.02000000000004
19,morales,-76.6172,2.757,288.5,94,28,1.02,CO,1707636209,15.350000000000023
20,newman,-121.0208,37.3138,278.85,88,5,0.45,US,1707636209,5.7000000000000455
21,jaisalmer,70.9181,26.9147,296.5,12,1,2.93,IN,1707636209,23.350000000000023
22,serdar,56.2757,38.9764,288.65,34,0,1.61,TM,1707636210,15.5
23,albany,-73.9662,42.6001,278.52,70,100,1.79,US,1707635686,5.3700000000000045
24,bilibino,166.4372,68.0546,239.84,100,100,0.51,RU,1707635681,-33.309999999999974
25,waitangi,-176.5597,-43.9535,286.38,94,100,2.24,NZ,1707635682,13.230000000000018
26,hammerfest,23.6821,70.6634,267.4,93,75,4.12,NO,1707636211,-5.75
27,bol,14.7147,13.4586,295.38,29,0,4.02,TD,1707636212,22.230000000000018
28,port-aux-francais,70.2167,-49.35,281.22,97,93,12.58,TF,1707635663,8.07000000000005
29,anadyr,177.4833,64.75,249.43,83,20,6.0,RU,1707635688,-23.71999999999997
30,edinburgh of the seven seas,-12.3116,-37.0676,290.88,89,5,8.57,SH,1707635673,17.730000000000018
31,uturoa,-151.4333,-16.7333,301.36,85,100,11.95,PF,1707635717,28.210000000000036
32,fomboni,43.7425,-12.28,300.72,75,100,3.13,KM,1707636213,27.57000000000005
33,sinabang,96.3801,2.4803,304.21,64,26,1.36,ID,1707636214,31.060000000000002
34,nova sintra,-24.7167,14.8667,293.4,68,0,8.05,CV,1707635719,20.25
35,nuuk,-51.7216,64.1835,259.49,66,4,6.69,GL,1707636214,-13.659999999999968
36,longyearbyen,15.6401,78.2186,265.06,73,0,4.12,SJ,1707636215,-8.089999999999975
37,adamstown,-130.1015,-25.066,297.73,88,100,9.08,PN,1707636215,24.58000000000004
38,bubaque,-15.8333,11.2833,298.77,57,14,2.54,GW,1707636216,25.620000000000005
39,tongliao,122.2653,43.6125,271.1,65,0,2.46,CN,1707636216,-2.0499999999999545
40,west island,96.8225,-12.1568,304.14,70,40,6.69,CC,1707635709,30.99000000000001
41,pocoes,-40.3653,-14.5297,292.43,97,100,1.69,BR,1707636119,19.28000000000003
42,puerto natales,-72.4875,-51.7236,282.61,98,100,1.52,CL,1707635668,9.460000000000036
43,aykhal,111.5,66.0,237.4,100,100,2.34,RU,1707636217,-35.74999999999997
44,gamba,10.0,-2.65,300.63,82,53,0.8,GA,1707636218,27.480000000000018
45,arkhangel'sk,40.5433,64.5401,253.21,84,20,1.0,RU,1707636218,-19.93999999999997
46,maitum,124.4986,6.0392,303.77,66,77,1.01,PH,1707636218,30.620000000000005
47,labytnangi,66.4183,66.6572,249.75,85,98,4.02,RU,1707636219,-23.399999999999977
48,san patricio,-97.5169,28.017,294.35,94,100,4.92,US,1707635722,21.200000000000045
49,pagar alam,103.2667,-4.0167,301.53,56,74,2.07,ID,1707636220,28.379999999999995
50,avarua,-159.775,-21.2078,300.18,74,20,5.14,CK,1707635672,27.03000000000003
51,papao,-149.55,-17.75,300.97,87,100,11.55,PF,1707636220,27.82000000000005
52,margaret river,115.0667,-33.95,298.69,54,0,7.66,AU,1707636221,25.54000000000002
53,wailua homesteads,-159.378,22.0669,295.39,84,100,2.57,US,1707635692,22.24000000000001
54,palmer,-72.3287,42.1584,281.27,80,20,3.6,US,1707636185,8.120000000000005
55,cofradia,-88.15,15.4,294.22,89,0,1.08,HN,1707636222,21.07000000000005
56,pisco,-76.2167,-13.7,296.18,88,0,5.14,PE,1707636222,23.03000000000003
57,nagqu,92.0,31.5,269.83,13,0,3.56,CN,1707635735,-3.319999999999993
58,pavlovka,47.1405,52.6897,259.2,93,100,2.68,RU,1707636223,-13.949999999999989
59,tazovsky,78.7,67.4667,250.78,97,96,3.54,RU,1707635695,-22.369999999999976
60,shippensburg,-77.5203,40.0507,286.41,86,100,1.85,US,1707636224,13.260000000000048
61,jamestown,-79.2353,42.097,275.07,94,100,2.06,US,1707635494,1.920000000000016
62,punta arenas,-70.9167,-53.15,284.21,71,0,3.09,CL,1707635730,11.060000000000002
63,visby,18.296,57.6409,273.17,93,100,7.72,SE,1707636225,0.020000000000038654
64,hadibu,54.0333,12.65,298.9,70,18,2.76,YE,1707635715,25.75
65,bitam,11.5007,2.076,297.53,77,100,0.97,GA,1707636226,24.379999999999995
66,tiksi,128.8694,71.6872,242.72,100,100,2.4,RU,1707635677,-30.42999999999998
67,lodja,23.4333,-3.4833,296.45,81,100,1.26,CD,1707636226,23.30000000000001
68,camacupa,17.4833,-12.0167,292.58,90,100,1.84,AO,1707636227,19.430000000000007
69,la passe,-0.8967,45.5549,283.14,79,100,10.57,FR,1707636227,9.990000000000009
70,tamiahua,-97.45,21.2667,293.5,95,0,2.51,MX,1707636228,20.350000000000023
71,woolgoolga,153.2007,-30.1106,296.08,87,68,5.72,AU,1707636228,22.930000000000007
72,cururupu,-44.8683,-1.8283,297.32,95,100,2.14,BR,1707636228,24.170000000000016
73,el matama,33.3565,16.7095,295.41,15,0,6.23,SD,1707636229,22.260000000000048
74,leiyang,112.8591,26.4024,290.43,42,5,1.53,CN,1707636229,17.28000000000003
75,ribeira grande,-28.7,38.5167,290.8,88,40,9.39,PT,1707636230,17.650000000000034
76,port alfred,26.891,-33.5906,296.03,73,10,1.79,ZA,1707635710,22.879999999999995
77,hawaiian paradise park,-154.9731,19.5933,293.88,91,40,2.57,US,1707635686,20.730000000000018
78,udachny,112.4,66.4167,236.73,66,100,2.22,RU,1707635733,-36.41999999999999
79,port elizabeth,25.5701,-33.918,296.1,62,0,3.09,ZA,1707635484,22.950000000000045
80,petropavlovsk-kamchatsky,158.6483,53.0452,261.48,81,0,3.58,RU,1707635724,-11.669999999999959
81,sassandra,-6.0833,4.95,298.04,97,100,0.89,CI,1707636232,24.890000000000043
82,aasiaat,-52.8699,68.7098,252.46,99,100,6.89,GL,1707635680,-20.68999999999997
83,howard springs,131.047,-12.497,304.81,82,23,7.51,AU,1707636233,31.660000000000025
84,kodiak,-152.4072,57.79,273.88,75,0,4.12,US,1707635676,0.7300000000000182
85,maumere,122.2111,-8.6199,301.94,76,100,5.68,ID,1707636233,28.79000000000002
86,antsiranana,49.2917,-12.2787,302.57,79,75,3.09,MG,1707636234,29.420000000000016
87,susuman,148.1667,62.7833,248.14,92,100,0.89,RU,1707635734,-25.00999999999999
88,blackmans bay,147.3167,-43.0167,294.22,63,100,2.68,AU,1707635690,21.07000000000005
89,rouissat,5.3502,31.9243,288.19,47,20,2.06,DZ,1707636235,15.04000000000002
90,ushuaia,-68.3,-54.8,281.96,93,40,1.54,AR,1707635696,8.810000000000002
91,pandan,124.1694,14.0453,298.36,80,73,9.16,PH,1707636235,25.210000000000036
92,yaren,166.916,-0.5472,302.01,75,100,3.96,NR,1707636236,28.860000000000014
93,keetmanshoop,18.1333,-26.5833,302.35,12,5,6.04,NA,1707636236,29.200000000000045
94,papatowai,169.4708,-46.5619,285.92,64,41,4.29,NZ,1707635687,12.770000000000039
95,kone,164.8658,-21.0595,300.08,80,23,3.04,NC,1707636237,26.930000000000007
96,wynyard,145.7167,-41.0,293.2,68,24,2.54,AU,1707636237,20.05000000000001
97,nova vicosa,-39.3719,-17.8919,297.45,91,35,1.71,BR,1707635976,24.30000000000001
98,lamar,-95.5836,33.6668,284.2,97,100,6.69,US,1707636237,11.050000000000011
99,thompson,-97.8558,55.7435,257.24,92,100,0.0,CA,1707635677,-15.909999999999968
100,nabire,135.4833,-3.3667,302.77,74,99,2.45,ID,1707636238,29.620000000000005
101,allapalli,80.0667,19.4167,306.22,37,0,3.58,IN,1707636238,33.07000000000005
102,whitehorse,-135.0538,60.7161,270.58,86,20,7.2,CA,1707635722,-2.569999999999993
103,asuncion mita,-89.7108,14.3308,292.25,71,5,0.71,GT,1707636239,19.100000000000023
104,kitgum,32.8867,3.2783,302.71,36,63,4.05,UG,1707636239,29.560000000000002
105,tolanaro,46.9987,-25.0319,303.04,65,10,3.88,MG,1707635729,29.890000000000043
106,privolzhskiy,46.0333,51.4,262.76,44,100,3.63,RU,1707636240,-10.389999999999986
107,port douglas,145.4667,-16.4833,301.67,75,93,2.39,AU,1707636240,28.52000000000004
108,baruun-urt,113.2792,46.6806,265.66,78,2,7.75,MN,1707636240,-7.489999999999952
109,savsat,42.3611,41.2403,276.49,81,100,0.72,TR,1707636241,3.340000000000032
110,asau,26.4,46.4333,279.66,53,100,2.61,RO,1707636241,6.510000000000048
111,island harbour,-1.2758,50.724,281.74,94,70,2.68,GB,1707636242,8.590000000000032
112,san antonio de pale,5.6325,-1.4014,302.08,75,68,3.11,GQ,1707635744,28.930000000000007
113,baharly,57.4316,38.4362,289.89,31,0,2.02,TM,1707636243,16.74000000000001
114,stanley,-1.6985,54.868,278.44,100,75,1.54,GB,1707635670,5.2900000000000205
115,agria,20.3733,47.9026,283.18,75,100,3.32,HU,1707636243,10.03000000000003
116,karratha,116.8463,-20.7377,301.74,78,0,6.75,AU,1707636244,28.590000000000032
117,hermanus,19.2345,-34.4187,295.82,58,0,6.64,ZA,1707635679,22.670000000000016
118,bengkulu,102.2655,-3.8004,302.81,65,21,3.63,ID,1707636245,29.660000000000025
119,ketchikan,-131.6461,55.3422,276.14,100,100,0.0,US,1707636245,2.990000000000009
120,bhamo,97.2333,24.2667,303.71,26,0,1.02,MM,1707636245,30.560000000000002
121,iwon-up,128.6553,40.3231,274.84,59,26,1.62,KP,1707636246,1.6899999999999977
122,sinop,34.8709,41.7711,282.0,67,100,1.66,TR,1707636246,8.850000000000023
123,vigan,120.3869,17.5747,299.11,74,100,15.59,PH,1707636246,25.960000000000036
124,canton,113.25,23.1167,298.12,17,73,2.44,CN,1707636247,24.970000000000027
125,college,-147.8028,64.8569,265.07,86,100,0.0,US,1707635709,-8.079999999999984
126,olonkinbyen,-8.7187,70.9221,269.52,67,100,6.95,SJ,1707635668,-3.6299999999999955
127,dhidhdhoo,73.1,6.8833,300.96,74,30,6.66,MV,1707636248,27.810000000000002
128,sao vicente,-46.3919,-23.9631,299.41,26,6,0.45,BR,1707636248,26.260000000000048
129,lerwick,-1.1494,60.1545,279.15,97,100,13.44,GB,1707636248,6.0
130,flagstaff,-111.6513,35.1981,268.96,85,0,0.45,US,1707636249,-4.189999999999998
131,road town,-64.6167,18.4167,297.2,66,100,7.93,VG,1707636144,24.05000000000001
132,sheboygan,-87.9334,43.7333,272.19,78,100,1.54,US,1707636249,-0.9599999999999795
133,sumter,-82.0831,28.7086,293.79,80,100,2.4,US,1707636250,20.640000000000043
134,tromso,18.957,69.6496,271.16,74,40,7.2,NO,1707636250,-1.9899999999999523
